Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visualtesting ofopenSquishies,Chrome 118.0.0.0,,,2023-10-18 05:31:01,2023-10-18 05:31:52,51.550s,FAILED
,,,,,,,
Test Cases/Visual Testing of openSwishies/Validate openSwishies Design views,Chrome 118.0.0.0,,,2023-10-18 05:31:49,2023-10-18 05:31:52,3.115s,FAILED
Start listener action : enableSauceLabs,Chrome 118.0.0.0,,,2023-10-18 05:31:49,2023-10-18 05:31:49,0.005s,PASSED
"callTestCase(findTestCase(""Voting Feature/PreCondition TCs/Open Squishable Home Page""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-18 05:31:49,2023-10-18 05:31:52,3.089s,FAILED
Start listener action : autoUpdateJobStatus,Chrome 118.0.0.0,,,2023-10-18 05:31:52,2023-10-18 05:31:52,0.004s,PASSED
